"Код","ADD","KOR","WClass","ОСНОВА","ХВОСТ","GLOSS","TRANS","RUS","ContKor","Поле1","Поле2","Поле3"
"1","6b1","지아비와","N","ci-a-pi","wa","COMI","husband","","","","",""
"2","6b1","지어미","N","ci-e-mi","non","TOP","wife","","","","",""
"3","6b1","두 ","NUM","twu","","","two","","","","",""
"4","6b1","셩의","N","syeng","uy","GEN","family","","","","",""
"5","6b1","합홈이라","N+COP","poy-hap-ho"," wo-m-i-la","VOL-NMNZ-COP-DECL","be union","","","","",""
"6","6b2","민의","N","soyng-min","uy","GEN","people","","","","",""
"7","6b2","비로","N","pi","lwo","INSTR","birth","","","","",""
"8","6b2","이며","N+COP","som-i","mye","CV","be beginning","","","","",""
"9","6b2","만","NUM","man","","","myriads","","","","",""
"10","6b2","가지","N","ka-ci","","","kind","","","","",""
"11","6b2","복의","N","pwok","uy","GEN","fortune","","","","",""
"12","6b3","근원이니","N+COP","kun-wen-i","ni","PARA","be source","","","","",""
"13","6b3","즁를","N","cyung-moy","lul","ACC","introductions","","","","",""
"14","6b3","야","P","hoyng-ho","ya","CV","hold","","","","",""
"15","6b3","혼인을","N","hwon-in","ul","ACC","betrothal","","","","",""
"16","6b3","의론며","P","uy-lwon-ho","mye","COOR","discuss","","","","",""
"17","6b4","폐을","N","phyey-poyk","ul","ACC","gifts","","","","",""
"18","6b4","드리고","P","tu-li","kwo","COOR","exchange","","","","",""
"19","6b4","친히","ADV","chin","hi","ADV","personal","","","","",""
"20","6b4","마즘은","N","ma-cum","un","TOP","neigbourhood","","","","",""
"21","6b4","그","PN","ku","","","that","","","","",""
"22","6b4","분별홈을","N","pwun-pyel-hwom","ul","ACC","distinctions","","","","",""
"23","6b5","두터이홈이라","N+COP","twu-te-i-ho","wo-m-ila","VOL-NMNZ-DECL","close relationship","","","","",""
"24","6b5","이런","P","i-leh","n","PInd","like this","","","","",""
"25","6b5","고로","N","kwo","lwo","INSTR","reason","","","","",""
"26","6b5","쳐를","N","chye","lul","ACC","wife","","","","",""
"27","6b6","호","V","chyuy-ho","wo-toy","CONC","choose","","","","",""
"28","6b6"," 동셩을","N","twong-syeng","ul","ACC","same sex","","","","",""
"29","6b6","티","P","chyuy","the","NEG","choose","","","","",""
"30","6b6","아니며","P","a-ni-ho","mye","COOR","do not","","","","",""
"31","6b7","집을","N","cip","ul","ACC","home","","","","",""
"32","6b7","지으","P","ci-u","toy","CONC","build","","","","нет волитива",""
"33","6b7","안히며","P","an-hi","mye","COOR","inside","","","","",""
"34","6b7"," 밧","P","pask","ul","ACC","outside","","","","",""
"35","6b7","분변야","P","pwun-pyen-ho","ya","CV","separate","","","","",""
"36","6b7","남","N","nam-co","non","TOP","man","","","","",""
"37","6b8","밧긔","N","pask","uy","LOC","outside","","","","не по сингармонизму",""
"38","6b8","이셔","P","is-i","e","CV","exist","","","","",""
"39","6b8","안홀","N","anh","wo-l","?-ACC","inside","","","","описка",""
"40","6b8","말디","P","mal-ho","ti","NEG","say","","","","",""
"41","6b8","아니고","P","a-ni-ho","kwo","COOR","do not","","","","",""
"42","6b9","부인은","N","pwu-in","un","TOP","wife","","","","",""
"43","6b9","안","N","anh","oy","LOC","inside","","","","",""
"44","6b9","이셔","P","is-I","e","CV","exist","","","","",""
"45","6b9"," 밧
니","N","pask","ul","ACC","outside","","","","",""
"46","6b9","말디 
니","P","mal-ho","ti","NEG","say","","","","",""
"47","6b9","아니니","P","a-ni-ho","no=ni","PROC+PARA","do not","","","","",""
"48","6b10","진실로","N","cin-sil","lwo","INSTR","truth","","","","",""
"49","6b10","능히","P","nung-ho","i","ADV","easily","","","","",""
"50","6b10","싁싁으로","N+V","suyk-suyk-ho","m-u-lwo-pse","NMNZ-INSTR","dignified","","","","",""
"51","6b10","림야","P","lim-ho","ya-pse","CV","come","","","","",""
"52","6b11","하의","N","ha-nol","uy","GEN","heaven","","","","",""
"53","6b11","건굿쉐","P","ken-ho","n","Pind","strong","","","","",""
"54","6b11","도를","N","two","lul","ACC","way","","","","",""
"55","6b11","몸밧고","P","mwom-pas","kwo","COOR","personally do","","","","",""
"56","6b11","부드러옴으로","P","pwu-tu-le","wo-m-u-lwo-pse","VOL-NMNZ-INSTR","soft","","","","",""
"57","6b12","로야","P","po-lwo-ho","ya-pse","CV","to step on","","","","",""
"58","6b12","희","N","stah","uy","LOC","earth","","","","",""
"59","6b12","슌","P","syun-ho","n","Pind","obey","","","","",""
"60","7a1","의를","N","uy","lul","ACC","justice","","","","",""
"61","7a1","니으면","P","nis","u-myen","COND","hold","","","","",""
"62","7a1","집","N","cip","","","home","","","","",""
"63","7a1","되","N","two","y","NOM","way","","","","",""
"64","7a1","졍려니","P","cyeng-ha","lye-ni","INTR-PARA","perfect","","","","",""
"65","7a1","와","","","","","???","","","","",""
"66","7a1","이예","","i-yey","","","this","","","","",""
"67","7a1","두로혀","P","twu-lwo-ho","ye","???","on the contrary","","","","",""
"68","7a2","지아비
야","N","ci-a-pi","","","husband","","","","",""
"69","7a2","능히","P","nung-ho","i","ADV","easily","","","","",""
"70","7a2","오로","ADV","wo-lwo","","","strictly","","","","",""
"71","7a2","지졔어티","P","ci-cyey-e","thi","NEG","keep control","","","","",""
"72","7a2","못야","P","mwos-ho","ya","CV","do not","","","","",""
"73","7a3","거림을","N","ke-no-li","m-ul","NMNZ+ACC","rule","","","","",""
"74","7a3","그","PN","ku","","","that","","","","",""
"75","7a3","도리로","N","two-li","lwo-pse","","way","","","","",""
"76","7a3","못고","P","mwos-ho","kwo","COOR","do not","","","","",""
"77","7a3","지어미","N","ci-e-mi","","","wife","","","","",""
"78","7a4","그","PN","ku","","","that","","","","",""
"79","7a4","지아비를","N","ci-a-pi","lul","ACC","husband","","","","",""
"80","7a4","타","P","tha","","","use?","","","","",""
"81","7a4","셤김을","P","syem-ki","m-ul","NMNZ-ACC","take care of","","","","",""
"82","7a4","그","PN","ku","","","that","","","","",""
"83","7a4","맛당홈으로","P","mas-tang-ho","wo-m-u-lwo-pse","VOL-NMNZ-INSTR","justice","","","","",""
"84","7a5","아니야","P","a-ni-ho","ya","CV","do not","","","","",""
"85","7a5","세","NUM","sey","","","three","","","","",""
"86","7a5","가지","N","ka-ci","","","kind","","","","",""
"87","7a5","좃는","P","cwos","nun","PInd","choose","","","","",""
"88","7a5","도를","N","two","lul","ACC","way","","","","",""
"89","7a6","못","P","mwos","","","cannot","=blind","","","",""
"90","7a7","알고","P","al","kwo","COOR","know","=blind","","","",""
"91","7a7","닐곱","NUM","nil-kwop","","","seven","","","","",""
"92","7a7","가지","N","ka-ci","","","kind","","","","",""
"93","7a7","리","P","po-li","non","PInd","abandon","","","","",""
"94","7a7","사오나옴","P","sa-wo-na","wo-m","VOL+NMNZ","wickedness","","","","",""
"95","7a9","것이시면","N+COP","kes-i","si-myen","HON+COND","if thing","","","","",""
"96","7a9","집","N","cip","","","home","","","","",""
"97","7a9","되","N","two","y","NOM","way","","","","",""
"98","7a10","삭리라","N","sak-ho","li-la","DECL","deplete","","","","",""
"99","7a10","모롬이","P","mwo-lwo","m-i","NMNZ-NOM","must","","","","",""
"100","7a10","지아비","N","ci-a-pi","","","husband","","","","",""
"101","7a10","그","PN","ku","","","that","","","","",""
"102","7a10","몸을","N","mwom","ul","ACC","body","","","","",""
"103","7a11","공경야","P","kwong-kyeng-ho","ya-pse","COND","respect","","","","",""
"104","7a11","그","PN","ku","","","that","","","","",""
"105","7a11","지어미를","N","ci-e-mi","lul","ACC","wife","","","","",""
"106","7a11","거리고","P","ke-no-li","kwo","COOR","command","","","","",""
"107","7a12","지어미","N","ci-e-mi","","","wife","","","","",""
"108","7a12","그","PN","ku","","","that","","","","",""
"109","7a12","몸을","N","mwom","ul","ACC","body","","","","",""
"110","7a12","공경야","","kwong-kyeng-ho","ya-pse","COND","respect","UNITE","","","",""
"111","7a12","그","PN","ku","","","that","","","","",""
"112","7a12","지아비를","N","ci-a-pi","lul","ACC","husband","","","","",""
"113","7a13","밧들어","P","pas-tul","e","CV","multiply","","","","",""
"114","7a13","안이며","V","an-i","mye","COOR","???","","","","",""
"115","7a13","밧기","P","pas","ki","NMNZ","outside","","밖","","",""
"116","7a13","화고","P","hwa-ho","kwo","COOR","be in peace","","","","",""
"117","7a13","슌야사","P","syun-ho","ya-sa","COND","gentle","","","","",""
"118","7a14","부뫼","N","pwu-mo","y","NOM","parents","","","","",""
"119","7a14","그","PN","ku","","","that","","","","",""
"120","7a14","편안고","P","phyen-an-ho","kwo","COOR","comfortable","","","","",""
"121","7a14","즐겨시리라","P","cul-kye-ho","si-li-la","HON-PROB-DECL","enjoy","","","","",""
"122","7a14","녜","","nyey","","","old days","","","","",""
"123","7a15","극결이","P","kuk-kyel","i","ADV","supremely","","","","",""
"124","7a15","기음거","P","ki-u","m-moy-ke-nol","NMNZ-???-CAUS","live","","깃다","","",""
"125","7a15","그","PN","ku","","","that","","","","",""
"126","7a15","안해","N","an-hay","","","wife?","","","","",""
"127","7a15","밥","N","pap","","","food","","","","",""
"128","7a15","먹이","P","mek","i-toy","CAUS-QUOT","feed","","","","",""
"129","7a16","공경야","P","kwong-kyeng-ho","ya","COND","respect","","","","",""
"130","7a16","서르","","se-lu-toy","","QUOT","each other","","","","",""
"131","7a16","졉홈을","P","cyep-ho","m-ul","NMLZ-ACC","treat","","","","",""
"132","7a16","손","N","swon","","","guest","","","","",""
"133","7a16","티니","P","kos","thi-ho-ni","ADV-BV-PARA","leave","","끊다","","",""
"134","7a17","지아비와","N","ci-a-pi","wa","COMI","husband","","","","",""
"135","7a17","지어미의","N","ci-a-mi","uy","GEN","wife","","","","",""
"136","7a17","되","N","twoy","","","way","","","","",""
"137","7a17","맛당이","P","mas-tang-ho","i","ADV","proper","","","","",""
"138","7a17","이러","","i-le","","","this","","","","",""
"139","7a17","","N","thos","","","reason","","","","",""
"140","7a18","디니라","P","ho","l-ti-ni-la","PProb-???-IND-DECL","do","","","","",""
"141","7a19","샤 ","P","kol","o-sya-toy","VOL+HONSub+CONC-QUOT","say","","","","",""
"142","7a19","군의","N","kwun-co","uy","GEN","noble man","군자","","","",""
"143","7a19","되","N","two","y","NOM","way","","","","",""
"144","7a19","이","N","skus","i","NOM","end","","","","",""
"145","7a20","지아비와","N","ci-a-pi","wa","COMI","husband","","","","",""
"146","7a20","지어미애","N","ci-e-mi","ay","LOC","wife","","","","",""
"147","7a20","짓다","P","cis","non-ta","Pind-DECL","build","","","","",""
"148","7a20","시니라","P","ho","si-ni-la","HON-IND-DECL","do","","","","",""
